ACCOUNT_NO,PARCEL_NO,LAND_ACT,IMPV_ACT,LAND_ASS,IMPV_ASS
"M025096","559703400080",0.0000,14770.0000,0.0000,920.0000
"M025101","567131300066",0.0000,11050.0000,0.0000,690.0000
"M025105","559710100038",0.0000,7010.0000,0.0000,440.0000
"M025111","559703400080",0.0000,13920.0000,0.0000,870.0000
"M025112","559710200006",0.0000,24600.0000,0.0000,1540.0000
"M025113","594922200091",0.0000,2170.0000,0.0000,140.0000
"M025116","567310400264",0.0000,8690.0000,0.0000,540.0000
"M025117","559710300121",0.0000,2120.0000,0.0000,130.0000
"M025120","595131200080",0.0000,6730.0000,0.0000,420.0000
"M025123","595115100099",0.0000,6340.0000,0.0000,400.0000
"M025125","560333300017",0.0000,13850.0000,0.0000,870.0000
"M025127","567312300099",0.0000,6060.0000,0.0000,380.0000
"M025133","566912101013",0.0000,17940.0000,0.0000,1120.0000
"M025134","590930200088",0.0000,2020.0000,0.0000,130.0000
"M025136","594911400392",0.0000,10.0000,0.0000,0.0000
"M025139","594510100229",0.0000,2920.0000,0.0000,180.0000
"M025141","566115400025",0.0000,9600.0000,0.0000,600.0000
"M025142","616309300038",0.0000,5700.0000,0.0000,360.0000
"M025143","559710200006",0.0000,16480.0000,0.0000,1030.0000
"M025148","567308200026",0.0000,1070.0000,0.0000,70.0000
"M025149","566912201011",0.0000,12930.0000,0.0000,810.0000
"M025151","566530300074",0.0000,11020.0000,0.0000,690.0000
"M025152","567716100020",0.0000,33120.0000,0.0000,2070.0000
"M025153","567712202001",0.0000,230.0000,0.0000,10.0000
"M025154","537720409044",0.0000,2100.0000,0.0000,130.0000
"M025156","590531200249",0.0000,10.0000,0.0000,0.0000
"M025157","566514100011",0.0000,3550.0000,0.0000,220.0000
"M025159","595304300294",0.0000,3540.0000,0.0000,220.0000
"M025161","568116100082",0.0000,9430.0000,0.0000,590.0000
"M025163","616316400165",0.0000,4490.0000,0.0000,280.0000
"M025164","566504100011",0.0000,37540.0000,0.0000,2350.0000
"M025165","537720104005",0.0000,10520.0000,0.0000,660.0000
"M025168","594914300135",0.0000,3500.0000,0.0000,220.0000
"M025170","559710300121",0.0000,6050.0000,0.0000,380.0000
"M025173","559710200006",0.0000,47500.0000,0.0000,2970.0000
"M025176","559710100079",0.0000,11580.0000,0.0000,720.0000
"M025178","567712202004",0.0000,4360.0000,0.0000,270.0000
"M025179","559710200006",0.0000,25480.0000,0.0000,1590.0000
"M025180","617101300800",0.0000,70.0000,0.0000,0.0000
"M025184","595508320011",0.0000,10620.0000,0.0000,660.0000
"M025185","566520410003",0.0000,13810.0000,0.0000,860.0000
"M025187","567310400264",0.0000,14120.0000,0.0000,880.0000
"M025193","566115400025",0.0000,9050.0000,0.0000,570.0000
"M025196","537728301028",0.0000,4960.0000,0.0000,310.0000
"M025199","566511400050",0.0000,10.0000,0.0000,0.0000
"M025201","595508213001",0.0000,41200.0000,0.0000,2580.0000
"M025203","559710100038",0.0000,108540.0000,0.0000,6780.0000
"M025211","567302400179",0.0000,10680.0000,0.0000,670.0000
"M025213","565726100004",0.0000,20260.0000,0.0000,1270.0000
"M025217","595308400157",0.0000,4810.0000,0.0000,300.0000
"M025220","567512401014",0.0000,12650.0000,0.0000,790.0000
"M025237","590322200789",0.0000,9310.0000,0.0000,580.0000
"M025248","595124300067",0.0000,600.0000,0.0000,40.0000
"M025251","559324300016",0.0000,23660.0000,0.0000,1480.0000
"M025253","559716400047",0.0000,6520.0000,0.0000,410.0000
"M025255","566912403046",0.0000,11600.0000,0.0000,730.0000
"M025258","590510200137",0.0000,16520.0000,0.0000,1030.0000
"M025264","566512300007",0.0000,3740.0000,0.0000,1010.0000
"M025267","566911200026",0.0000,6860.0000,0.0000,430.0000
"M025268","566911101003",0.0000,30.0000,0.0000,0.0000
"M025276","590129200146",0.0000,10.0000,0.0000,0.0000
"M025283","559710200006",0.0000,13080.0000,0.0000,820.0000
"M025284","559710200006",0.0000,21670.0000,0.0000,1350.0000
"M025287","566130106009",0.0000,10830.0000,0.0000,680.0000
"M025295","566518402002",0.0000,6580.0000,0.0000,410.0000
"M025297","590131100113",0.0000,6630.0000,0.0000,410.0000
"M025298","566509300012",0.0000,89000.0000,0.0000,5560.0000
"M025299","559324302051",0.0000,10250.0000,0.0000,640.0000
"M025303","590333400784",0.0000,1420.0000,0.0000,90.0000
"M025305","595508213001",0.0000,10100.0000,0.0000,630.0000
"M025310","567132300012",0.0000,16270.0000,0.0000,1020.0000
"M025311","566504100016",0.0000,6530.0000,0.0000,410.0000
"M025314","559324202011",0.0000,13840.0000,0.0000,870.0000
"M025317","590929400309",0.0000,10.0000,0.0000,0.0000
"M025318","590309201006",0.0000,7590.0000,0.0000,470.0000
"M025327","567134300087",0.0000,8190.0000,0.0000,510.0000
"M025330","590311400389",0.0000,8560.0000,0.0000,540.0000
"M025331","590502300146",0.0000,3540.0000,0.0000,220.0000
"M025336","567318200053",0.0000,10420.0000,0.0000,650.0000
"M025337","591128400256",0.0000,9740.0000,0.0000,610.0000
"M025338","567306400264",0.0000,5150.0000,0.0000,320.0000
"M025344","590329100193",0.0000,10.0000,0.0000,0.0000
"M025351","566128405028",0.0000,21930.0000,0.0000,1370.0000
"M025354","595731100024",0.0000,10020.0000,0.0000,630.0000
"M025358","590107400173",0.0000,4600.0000,0.0000,290.0000
"M025360","565907100007",0.0000,5750.0000,0.0000,360.0000
"M025362","567712100041",0.0000,19830.0000,0.0000,1240.0000
"M025365","590508400554",0.0000,10.0000,0.0000,0.0000
"M025373","595502100008",0.0000,10220.0000,0.0000,640.0000
"M025374","590527100229",0.0000,570.0000,0.0000,40.0000
"M025376","590316100168",0.0000,2270.0000,0.0000,140.0000
"M025382","559710300131",0.0000,3700.0000,0.0000,230.0000
"M025386","000000000000",0.0000,8240.0000,0.0000,520.0000
"M025388","595307400498",0.0000,4720.0000,0.0000,300.0000
"M025393","616310400019",0.0000,5360.0000,0.0000,340.0000
"M025397","591126200116",0.0000,24660.0000,0.0000,1540.0000
"M025402","567307400148",0.0000,12410.0000,0.0000,780.0000
"M025403","567307400149",0.0000,15500.0000,0.0000,970.0000
"M025405","566129203003",0.0000,8590.0000,0.0000,540.0000
"M025406","590514100240",0.0000,10050.0000,0.0000,630.0000
"M025409","566507400017",0.0000,8750.0000,0.0000,550.0000
"M025414","567701306014",0.0000,860.0000,0.0000,50.0000
"M025415","567701306012",0.0000,3850.0000,0.0000,240.0000
"M025416","594912100018",0.0000,2740.0000,0.0000,170.0000
"M025417","595107100185",0.0000,9620.0000,0.0000,600.0000
"M025424","566530300074",0.0000,23060.0000,0.0000,1440.0000
"M025427","559710200006",0.0000,25410.0000,0.0000,1590.0000
"M025428","591101300547",0.0000,3920.0000,0.0000,250.0000
"M025434","595508213001",0.0000,43620.0000,0.0000,2730.0000
"M025436","590535200342",0.0000,22330.0000,0.0000,1400.0000
"M025437","594912100018",0.0000,12210.0000,0.0000,760.0000
"M025439","567131400060",0.0000,10990.0000,0.0000,690.0000
"M025440","566518402002",0.0000,11980.0000,0.0000,750.0000
"M025444","567316200118",0.0000,3910.0000,0.0000,240.0000
"M025445","559710200006",0.0000,29970.0000,0.0000,1870.0000
"M025448","567123300097",0.0000,6040.0000,0.0000,380.0000
"M025453","595118300152",0.0000,22080.0000,0.0000,1380.0000
"M025459","566130106008",0.0000,6290.0000,0.0000,390.0000
"M025460","566509300012",0.0000,60440.0000,0.0000,3780.0000
"M025461","559324100001",0.0000,8100.0000,0.0000,510.0000
"M025462","590327200150",0.0000,10080.0000,0.0000,630.0000
"M025467","590112100141",0.0000,2850.0000,0.0000,180.0000
"M025475","566520410003",0.0000,13340.0000,0.0000,830.0000
"M025483","559710200006",0.0000,9690.0000,0.0000,610.0000
"M025486","595508213001",0.0000,22520.0000,0.0000,1410.0000
"M025488","594521200093",0.0000,7580.0000,0.0000,470.0000
"M025489","616304100077",0.0000,8250.0000,0.0000,520.0000
"M025491","595719200140",0.0000,15950.0000,0.0000,1000.0000
"M025492","594514202002",0.0000,7660.0000,0.0000,480.0000
"M025498","567312300063",0.0000,3120.0000,0.0000,200.0000
"M025500","567307200088",0.0000,8580.0000,0.0000,540.0000
"M025503","566529414005",0.0000,23780.0000,0.0000,1490.0000
"M025506","616309200235",0.0000,1260.0000,0.0000,80.0000
"M025507","595510201003",0.0000,9370.0000,0.0000,590.0000
"M025509","566520410003",0.0000,41270.0000,0.0000,2580.0000
"M025510","567712207006",0.0000,17240.0000,0.0000,1080.0000
"M025513","566901300009",0.0000,4870.0000,0.0000,300.0000
"M025522","567712202002",0.0000,9160.0000,0.0000,570.0000
"M025525","559728400039",0.0000,6090.0000,0.0000,380.0000
"M025527","595508213001",0.0000,36840.0000,0.0000,2300.0000
"M025534","590327101004",0.0000,24730.0000,0.0000,1550.0000
"M025535","567923100015",0.0000,560.0000,0.0000,40.0000
"M025539","559710200006",0.0000,62120.0000,0.0000,3880.0000
"M025540","559710300121",0.0000,14500.0000,0.0000,910.0000
"M025542","566130121010",0.0000,15190.0000,0.0000,950.0000
"M025544","566520410003",0.0000,26900.0000,0.0000,1680.0000
"M025546","566530300074",0.0000,4300.0000,0.0000,270.0000
"M025550","595732400074",0.0000,3950.0000,0.0000,250.0000
"M025551","566124400016",0.0000,4420.0000,0.0000,280.0000
"M025555","590909300012",0.0000,570.0000,0.0000,40.0000
"M025556","566911200087",0.0000,8410.0000,0.0000,530.0000
"M025561","594922200088",0.0000,15090.0000,0.0000,940.0000
"M025567","537728202003",0.0000,26610.0000,0.0000,1660.0000
"M025568","566512300007",0.0000,6200.0000,0.0000,390.0000
"M025569","567318200053",0.0000,13810.0000,0.0000,860.0000
"M025572","559324100001",0.0000,13670.0000,0.0000,850.0000
"M025576","595508206012",0.0000,2180.0000,0.0000,140.0000
"M025579","566507400017",0.0000,6760.0000,0.0000,420.0000
"M025580","566520410003",0.0000,15830.0000,0.0000,990.0000
"M025582","567712207006",0.0000,11850.0000,0.0000,740.0000
"M025584","566516402007",0.0000,6250.0000,0.0000,390.0000
"M025586","566509300012",0.0000,7450.0000,0.0000,470.0000
"M025588","590333300046",0.0000,5690.0000,0.0000,360.0000
"M025589","590514300317",0.0000,12330.0000,0.0000,770.0000
"M025591","566520410003",0.0000,10510.0000,0.0000,660.0000
"M025595","595508318008",0.0000,1190.0000,0.0000,70.0000
"M025596","567711400058",0.0000,100.0000,0.0000,10.0000
"M025598","559703400090",0.0000,11750.0000,0.0000,730.0000
"M025599","566530300074",0.0000,10820.0000,0.0000,680.0000
"M025600","566507400017",0.0000,3420.0000,0.0000,210.0000
"M025605","566912201006",0.0000,12610.0000,0.0000,790.0000
"M025608","590323100349",0.0000,170.0000,0.0000,10.0000
"M025611","559710200006",0.0000,10510.0000,0.0000,660.0000
"M025614","567310400110",0.0000,6100.0000,0.0000,380.0000
"M025618","567716100019",0.0000,1450.0000,0.0000,90.0000
"M025620","566130117006",0.0000,6470.0000,0.0000,400.0000
"M025621","566509300012",0.0000,56710.0000,0.0000,3540.0000
"M025622","566520410003",0.0000,18240.0000,0.0000,1140.0000
"M025627","595508206012",0.0000,360.0000,0.0000,20.0000
"M025630","566530200163",0.0000,14520.0000,0.0000,910.0000
"M025637","566530300074",0.0000,3910.0000,0.0000,240.0000
"M025644","559710100038",0.0000,12270.0000,0.0000,770.0000
"M025648","566520410003",0.0000,14520.0000,0.0000,910.0000
"M025653","559703400080",0.0000,27880.0000,0.0000,1740.0000
"M025654","559710300131",0.0000,7740.0000,0.0000,480.0000
"M025660","559710200006",0.0000,19330.0000,0.0000,1210.0000
"M025663","566515300147",0.0000,2890.0000,0.0000,180.0000
"M025667","590916300160",0.0000,8130.0000,0.0000,510.0000
"M025669","566911200031",0.0000,14680.0000,0.0000,920.0000
"M025672","566530300074",0.0000,3450.0000,0.0000,220.0000
"M025678","590334400476",0.0000,7760.0000,0.0000,490.0000
"M025679","566130106004",0.0000,8770.0000,0.0000,550.0000
"M025683","559710200006",0.0000,28180.0000,0.0000,1760.0000
"M025684","567306200011",0.0000,3690.0000,0.0000,230.0000
"M025686","594915100068",0.0000,6540.0000,0.0000,410.0000
"M025690","566509300012",0.0000,108300.0000,0.0000,6770.0000
"M025695","567303300214",0.0000,1250.0000,0.0000,80.0000
"M025696","566504100011",0.0000,7210.0000,0.0000,450.0000
"M025697","594514200002",0.0000,6800.0000,0.0000,430.0000
"M025700","590321400027",0.0000,23240.0000,0.0000,1450.0000
"M025701","590307300779",0.0000,8790.0000,0.0000,550.0000
"M025702","566507400017",0.0000,7770.0000,0.0000,490.0000
"M025705","559324100001",0.0000,15300.0000,0.0000,960.0000
"M025706","567712207006",0.0000,20240.0000,0.0000,1270.0000
"M025707","590918100013",0.0000,19330.0000,0.0000,1210.0000
"M025708","566516400097",0.0000,1920.0000,0.0000,120.0000
"M025710","566115400025",0.0000,10560.0000,0.0000,660.0000
"M025711","566115400025",0.0000,8780.0000,0.0000,550.0000
"M025716","595504100187",0.0000,660.0000,0.0000,40.0000
"M025719","566530300074",0.0000,6710.0000,0.0000,420.0000
"M025720","566506300013",0.0000,19250.0000,0.0000,1200.0000
"M025721","567701306018",0.0000,9810.0000,0.0000,610.0000
"M025722","567130300308",0.0000,6710.0000,0.0000,420.0000
"M025725","595131200080",0.0000,4410.0000,0.0000,280.0000
"M025727","566912101008",0.0000,7330.0000,0.0000,460.0000
"M025728","566504200075",0.0000,22640.0000,0.0000,1420.0000
"M025729","559710300131",0.0000,5480.0000,0.0000,340.0000
"M025733","567712202004",0.0000,23330.0000,0.0000,1460.0000
"M025734","559333200800",0.0000,2950.0000,0.0000,180.0000
"M025735","566518402002",0.0000,4970.0000,0.0000,310.0000
"M025738","559703400080",0.0000,8540.0000,0.0000,530.0000
"M025744","591135301005",0.0000,3080.0000,0.0000,190.0000
"M025752","566504100011",0.0000,7600.0000,0.0000,480.0000
"M025758","566130103002",0.0000,10870.0000,0.0000,680.0000
"M025759","566504100011",0.0000,4150.0000,0.0000,260.0000
"M025764","566530200163",0.0000,17270.0000,0.0000,1080.0000
"M025767","590909300012",0.0000,8370.0000,0.0000,520.0000
"M025769","559710100038",0.0000,3320.0000,0.0000,210.0000
"M025773","566911101006",0.0000,12180.0000,0.0000,760.0000
"M025784","566909401005",0.0000,7050.0000,0.0000,440.0000
"M025785","566505200094",0.0000,13990.0000,0.0000,870.0000
"M025787","566510400030",0.0000,11020.0000,0.0000,690.0000
"M025788","566530300074",0.0000,32000.0000,0.0000,2000.0000
"M025789","566504100011",0.0000,20040.0000,0.0000,1250.0000
"M025790","566518402002",0.0000,7650.0000,0.0000,480.0000
"M025792","567716102005",0.0000,2280.0000,0.0000,140.0000
"M025793","590309300800",0.0000,10900.0000,0.0000,680.0000
"M025796","559703400056",0.0000,7930.0000,0.0000,500.0000
"M025798","566130106005",0.0000,7720.0000,0.0000,480.0000
"M025804","566520410003",0.0000,20990.0000,0.0000,1310.0000
"M025805","567318200053",0.0000,9470.0000,0.0000,590.0000
"M025815","566911200084",0.0000,12050.0000,0.0000,750.0000
"M025817","567308401001",0.0000,250.0000,0.0000,20.0000
"M025819","567923401023",0.0000,3430.0000,0.0000,210.0000
"M025825","594311100128",0.0000,8260.0000,0.0000,520.0000
"M025827","567701306011",0.0000,15310.0000,0.0000,960.0000
"M025832","590316400832",0.0000,2150.0000,0.0000,130.0000
"M025834","595304300420",0.0000,880.0000,0.0000,60.0000
"M025835","590322400421",0.0000,4190.0000,0.0000,1130.0000
"M025837","595508315006",0.0000,2440.0000,0.0000,150.0000
"M025842","595119400056",0.0000,10100.0000,0.0000,630.0000
"M025846","590518400202",0.0000,2320.0000,0.0000,150.0000
"M025850","566532400088",0.0000,11630.0000,0.0000,730.0000
"M025852","559703400080",0.0000,11140.0000,0.0000,700.0000
"M025854","594922100093",0.0000,8180.0000,0.0000,510.0000
"M025857","567318200053",0.0000,4210.0000,0.0000,260.0000
"M025860","595321400122",0.0000,7050.0000,0.0000,440.0000
"M025862","567915400062",0.0000,13250.0000,0.0000,830.0000
"M025863","567132300009",0.0000,4670.0000,0.0000,290.0000
"M025864","559710300161",0.0000,9260.0000,0.0000,580.0000
"M025865","567933400093",0.0000,1070.0000,0.0000,70.0000
"M025867","566912107011",0.0000,10220.0000,0.0000,640.0000
"M025870","567712200009",0.0000,7360.0000,0.0000,460.0000
"M025873","566530300074",0.0000,9750.0000,0.0000,610.0000
"M025874","594515300257",0.0000,8740.0000,0.0000,550.0000
"M025876","559733100085",0.0000,21490.0000,0.0000,1340.0000
"M025879","559710300131",0.0000,3700.0000,0.0000,230.0000
"M025881","566911200088",0.0000,6390.0000,0.0000,400.0000
"M025884","594520100020",0.0000,43900.0000,0.0000,2740.0000
"M025885","595720300063",0.0000,24880.0000,0.0000,1560.0000
"M025889","566530300074",0.0000,3570.0000,0.0000,220.0000
"M025890","559703400132",0.0000,15360.0000,0.0000,960.0000
"M025891","566530300074",0.0000,13910.0000,0.0000,870.0000
"M025892","566530300074",0.0000,4500.0000,0.0000,280.0000
"M025893","566530300074",0.0000,1810.0000,0.0000,110.0000
"M025894","566530300074",0.0000,8620.0000,0.0000,540.0000
"M025895","566530300074",0.0000,1750.0000,0.0000,110.0000
"M025899","567112100279",0.0000,3070.0000,0.0000,190.0000
"M025900","566126100021",0.0000,2510.0000,0.0000,160.0000
"M025902","559710100078",0.0000,7500.0000,0.0000,470.0000
"M025903","595508300023",0.0000,830.0000,0.0000,50.0000
"M025904","566520410003",0.0000,6220.0000,0.0000,390.0000
"M025906","566901402014",0.0000,11170.0000,0.0000,700.0000
"M025909","560133400066",0.0000,11260.0000,0.0000,700.0000
"M025910","594509400324",0.0000,12830.0000,0.0000,800.0000
"M025912","595124300067",0.0000,260.0000,0.0000,20.0000
"M025914","590332200234",0.0000,6240.0000,0.0000,390.0000
"M025918","559710100065",0.0000,16710.0000,0.0000,1040.0000
"M025925","567716100011",0.0000,9170.0000,0.0000,570.0000
"M025930","595107400169",0.0000,4580.0000,0.0000,290.0000
"M025931","559710100038",0.0000,7040.0000,0.0000,440.0000
"M025932","595123300207",0.0000,850.0000,0.0000,50.0000
"M025936","595508213001",0.0000,34180.0000,0.0000,2140.0000
"M025937","595107100136",0.0000,17880.0000,0.0000,1120.0000
"M025942","559703400080",0.0000,88730.0000,0.0000,5550.0000
"M025945","566507400017",0.0000,1930.0000,0.0000,120.0000
"M025948","566507400017",0.0000,8460.0000,0.0000,530.0000
"M025949","566910100030",0.0000,4280.0000,0.0000,270.0000
"M025950","567933400093",0.0000,1700.0000,0.0000,110.0000
"M025951","566507400017",0.0000,4750.0000,0.0000,300.0000
"M025952","567712202004",0.0000,2480.0000,0.0000,160.0000
"M025954","590909400091",0.0000,4920.0000,0.0000,310.0000
"M025957","616307101006",0.0000,40.0000,0.0000,0.0000
"M025961","590328200504",0.0000,15240.0000,0.0000,950.0000
"M025963","567310400110",0.0000,6710.0000,0.0000,420.0000
"M025971","595327100812",0.0000,1770.0000,0.0000,110.0000
"M025973","591135401038",0.0000,13220.0000,0.0000,830.0000
"M025975","594520100001",0.0000,10.0000,0.0000,0.0000
"M025979","559710200006",0.0000,27470.0000,0.0000,1720.0000
"M025983","566530300074",0.0000,2030.0000,0.0000,130.0000
"M025984","566520410003",0.0000,18120.0000,0.0000,1130.0000
"M025986","566901300004",0.0000,470.0000,0.0000,30.0000
"M025990","566530300074",0.0000,1130.0000,0.0000,70.0000
"M025992","594517300305",0.0000,5380.0000,0.0000,340.0000
"M025999","590531100286",0.0000,19990.0000,0.0000,1250.0000
"M026006","566127201010",0.0000,7570.0000,0.0000,470.0000
"M026008","565726400011",0.0000,5870.0000,0.0000,370.0000
"M026009","595119300086",0.0000,2460.0000,0.0000,150.0000
"M026011","566515300103",0.0000,3350.0000,0.0000,210.0000
"M026015","595508320004",0.0000,30.0000,0.0000,0.0000
"M026019","616508300117",0.0000,2770.0000,0.0000,170.0000
"M026020","567713200192",0.0000,10.0000,0.0000,0.0000
"M026021","567711101027",0.0000,2950.0000,0.0000,180.0000
"M026022","559710200006",0.0000,27250.0000,0.0000,1700.0000
"M026031","566912405020",0.0000,9210.0000,0.0000,580.0000
"M026032","559710200006",0.0000,40300.0000,0.0000,2520.0000
"M026034","567712100030",0.0000,1680.0000,0.0000,110.0000
"M026036","566503100009",0.0000,11270.0000,0.0000,700.0000
"M026045","559710300121",0.0000,6110.0000,0.0000,380.0000
"M026050","566115400025",0.0000,8240.0000,0.0000,520.0000
"M026052","595523200208",0.0000,16180.0000,0.0000,1010.0000
"M026055","559710200006",0.0000,34590.0000,0.0000,2160.0000
"M026057","595302100164",0.0000,15170.0000,0.0000,950.0000
"M026058","566520410003",0.0000,37650.0000,0.0000,2350.0000
"M026060","559727300011",0.0000,21920.0000,0.0000,1370.0000
"M026066","595508303001",0.0000,12080.0000,0.0000,3260.0000
"M026071","566520410003",0.0000,18330.0000,0.0000,1150.0000
"M026074","590321400027",0.0000,110.0000,0.0000,10.0000
"M026076","566504100011",0.0000,10980.0000,0.0000,690.0000
"M026079","559324302032",0.0000,5590.0000,0.0000,350.0000
"M026082","590531200219",0.0000,26730.0000,0.0000,1670.0000
"M026083","566518402002",0.0000,13700.0000,0.0000,860.0000
"M026084","590323200705",0.0000,4260.0000,0.0000,270.0000
"M026087","594528400441",0.0000,8610.0000,0.0000,540.0000
"M026088","594520100029",0.0000,9430.0000,0.0000,590.0000
"M026090","591113300030",0.0000,16780.0000,0.0000,1050.0000
"M026093","595107100185",0.0000,25320.0000,0.0000,1580.0000
"M026095","594911100015",0.0000,4700.0000,0.0000,290.0000
"M026098","595508324003",0.0000,2340.0000,0.0000,150.0000
"M026100","594914100426",0.0000,2250.0000,0.0000,140.0000
"M026102","591135100006",0.0000,4380.0000,0.0000,270.0000
"M026103","567310400264",0.0000,6110.0000,0.0000,380.0000
"M026105","565714400037",0.0000,14630.0000,0.0000,910.0000
"M026109","559710100038",0.0000,18980.0000,0.0000,1190.0000
"M026112","590518301803",0.0000,220.0000,0.0000,10.0000
"M026113","566518402002",0.0000,18930.0000,0.0000,1180.0000
"M026114","590331400311",0.0000,3420.0000,0.0000,210.0000
"M026115","559710100038",0.0000,15790.0000,0.0000,990.0000
"M026121","566130110003",0.0000,8110.0000,0.0000,510.0000
"M026125","616310300033",0.0000,9270.0000,0.0000,580.0000
"M026133","566507400017",0.0000,17410.0000,0.0000,1090.0000
"M026138","566530300074",0.0000,7620.0000,0.0000,480.0000
"M026139","566507400017",0.0000,1450.0000,0.0000,90.0000
"M026140","594511304007",0.0000,9290.0000,0.0000,580.0000
"M026141","566530300074",0.0000,5130.0000,0.0000,320.0000
"M026160","591122300542",0.0000,4410.0000,0.0000,280.0000
"M026166","595321100297",0.0000,4270.0000,0.0000,270.0000
"M026167","559703400080",0.0000,5210.0000,0.0000,330.0000
"M026171","559710200006",0.0000,10700.0000,0.0000,670.0000
"M026174","566912201004",0.0000,18060.0000,0.0000,1130.0000
"M026177","590931300099",0.0000,2240.0000,0.0000,140.0000
"M026179","595508313004",0.0000,8100.0000,0.0000,510.0000
"M026182","594521200236",0.0000,8670.0000,0.0000,540.0000
"M026183","566509300006",0.0000,26930.0000,0.0000,1680.0000
"M026184","566530300074",0.0000,4700.0000,0.0000,290.0000
"M026185","567712202004",0.0000,13690.0000,0.0000,860.0000
"M026189","590320300093",0.0000,10.0000,0.0000,0.0000
"M026193","559703400200",0.0000,3430.0000,0.0000,210.0000
"M026194","616522200126",0.0000,1860.0000,0.0000,120.0000
"M026196","559703300201",0.0000,6620.0000,0.0000,410.0000
"M026204","616517300028",0.0000,2620.0000,0.0000,160.0000
"M026205","595124100289",0.0000,3280.0000,0.0000,210.0000
"M026206","000000000000",0.0000,2350.0000,0.0000,150.0000
"M026209","566910100030",0.0000,8510.0000,0.0000,530.0000
"M026210","590116200290",0.0000,9590.0000,0.0000,600.0000
"M026212","566509300010",0.0000,37380.0000,0.0000,2340.0000
"M026217","566509300010",0.0000,26040.0000,0.0000,1630.0000
"M026218","559324406001",0.0000,50.0000,0.0000,0.0000
"M026221","559710200006",0.0000,52820.0000,0.0000,3300.0000
"M026225","559710200006",0.0000,52260.0000,0.0000,3270.0000
"M026227","616316100093",0.0000,12590.0000,0.0000,790.0000
"M026230","566530300074",0.0000,4130.0000,0.0000,260.0000
"M026238","559710200056",0.0000,3690.0000,0.0000,230.0000
"M026239","559703400080",0.0000,12890.0000,0.0000,810.0000
"M026241","566504400034",0.0000,3940.0000,0.0000,250.0000
"M026245","559710200006",0.0000,34110.0000,0.0000,2130.0000
"M026246","566518402002",0.0000,16530.0000,0.0000,1030.0000
"M026253","566911100076",0.0000,7090.0000,0.0000,440.0000
"M026255","594512300192",0.0000,17220.0000,0.0000,1080.0000
"M026256","567503100002",0.0000,11360.0000,0.0000,710.0000
"M026260","566130107006",0.0000,7700.0000,0.0000,480.0000
"M026261","566509300012",0.0000,47260.0000,0.0000,2950.0000
"M026262","559710200042",0.0000,10950.0000,0.0000,680.0000
"M026264","590312100824",0.0000,3250.0000,0.0000,200.0000
"M026266","566515200026",0.0000,1780.0000,0.0000,110.0000
"M026267","559710200006",0.0000,2380.0000,0.0000,150.0000
"M026269","594520100043",0.0000,2890.0000,0.0000,180.0000
"M026270","559710200006",0.0000,49340.0000,0.0000,3080.0000
"M026272","566520410003",0.0000,90390.0000,0.0000,5650.0000
"M026278","590315400214",0.0000,5330.0000,0.0000,330.0000
"M026279","559710200006",0.0000,35840.0000,0.0000,2240.0000
"M026282","566911300043",0.0000,10.0000,0.0000,0.0000
